decy Temp CTD_S OxFix Pro Syn Piceu Naneu
  2011.74221     27.60333     36.20700     27.26667  58638.33333  13107.00000    799.66667    117.66667
  2011.74401     26.97950     36.13400     27.05000  71392.50000  13228.50000   1149.00000    116.50000
  2011.74617     24.99750     35.34450     24.80000 264292.00000  27514.00000   2434.50000    132.50000
  2011.74692     24.78400     35.25800     25.82500 208996.50000  39284.00000   3761.75000    220.75000
  2011.74774     27.34225     35.86800     27.82500 114617.25000  23115.00000   2337.00000    139.75000
  2011.74950     26.47875     36.18175     27.20000  97008.00000   9775.75000    855.50000     77.50000
  2011.75583     26.86500     36.14575     27.47500  76255.00000  10226.75000    783.00000     99.50000
  2011.75654     27.04550     36.04950     27.60000  95017.75000  10546.25000    915.25000     77.75000
  2011.75962     27.06567     36.46367     26.56667  75750.00000  10194.33333    687.00000     44.00000
  2011.76101     27.44700     36.48150     27.90000  38556.50000   8204.75000    791.25000    118.75000
  2011.76169     27.32325     36.50075     27.80000  29848.50000   8995.50000    727.00000    159.25000
  2011.76245     26.87050     36.57350     26.40000  36323.50000  10897.00000    792.00000     87.50000
  2011.76349     27.43900     36.89325     27.90000  17308.50000   9678.50000    559.00000    149.00000
  2011.77171     26.74050     36.90550     26.10000  20976.50000   7516.00000    489.50000     41.50000
  2011.77224     26.53500     36.77500     27.22500  27229.00000   7578.00000    606.75000    159.50000
  2011.77288     26.65450     36.78500     27.32500  37897.50000  10493.50000   1008.75000    209.50000
  2011.77444     27.24150     36.73800     26.80000  15551.00000   8159.50000    479.00000     70.50000
  2011.77505     26.67560     36.74240     27.30000  27887.80000   5290.80000    510.00000    101.20000
  2011.77568     27.65125     36.69225     28.10000  12850.00000   9944.75000    640.75000    120.00000
  2011.77693     28.11500     36.32750     27.85000   5694.00000  10288.50000    507.00000     32.00000
  2011.77751     28.61950     36.26325     28.72500  20486.75000  10465.00000    430.50000     82.75000
  2011.77814     28.60425     36.23100     28.70000  27974.50000   6977.25000    554.00000     80.50000
  2011.77968     28.47200     35.69000     28.40000 126778.00000   2840.00000    537.00000     27.00000
  2011.78087     28.89400     35.60650     28.35000  49250.00000   5533.00000   1004.00000      5.50000
  2011.78190     28.74100     35.46200     28.80000  35698.00000   1298.00000    308.00000     23.00000
  2011.78713     28.80500     35.50100     28.70000  99450.00000   5410.00000    637.50000     50.50000
  2011.78887     28.39250     35.90900     28.25000 116562.00000   3758.50000    582.50000     60.00000
  2011.79078     28.10550     36.40150     28.20000  13403.00000  11285.00000    472.00000     73.50000
  2011.79261     27.25650     36.78350     27.45000  11205.00000  10576.00000    630.00000     74.00000
  2011.79427     26.59550     36.80650     26.80000  13896.50000   6838.50000    466.50000     62.50000
  2011.79648     26.41000     36.60750     26.85000  50894.50000  11763.50000    657.50000    125.00000
