"pbact" "sbact" "ebact" "hbact" "temp"
98.708 1.779 0.656 242.259 1178.906
112.714 2.336 0.653 219.865 1157.033
101.614 1.715 0.731 244.398 1159.905
126.9 2.641 0.428 265.951 1175.526
91.723 0.821 0.447 248.352 1173.682
115.693 1.082 0.464 258.89 1262.558
74.465 0.478 0.033 165.715 1300.305
119.013 0.66 0.263 278.222 1320.666
112.405 0.849 0.12 295.642 1305.911
111.279 0.849 0.337 277.009 1296.59
87.915 0.415 0.266 217.642 1244.951
95.576 1.241 0.39 224.911 1189.465
74.684 1.05 0.456 219.345 1169.668
113.912 0.888 0.63 258.923 1233.095
89.833 0.601 0.333 268.086 1277.535
98.97 0.598 0.254 245.566 1316.064
121.27 0.469 0.217 308.418 1326.127
104.915 0.389 0.384 235.396 1304.438
99.379 0.038 0.403 213.243 1254.324
70.195 3.147 1.176 251.238 1225.361
73.759 0.036 0.844 195.098 1154.565
97.182 1.598 0.73 236.1 1170.24
108.574 1.396 1.16 281.096 1248.158
93.546 0.437 0.519 229.126 1275.33
89.976 0.629 0.344 250.503 1275.961
142.344 0.911 0.445 327.415 1289.452
119.475 0.633 0.431 296.63 1313.208
105.035 0.951 0.483 270.166 1246.514
100.718 1.532 0.537 170.658 1167.697
61.437 0.88 0.501 178.708 1146.473
99.68 1.256 0.71 232.029 1142.443
93.313 0.966 0.39 248.617 1189.078
94.63 0.434 0.412 227.817 1266.411
86.532 0.538 0.419 224.48 1284.832
92.339 0.503 0.381 258.361 1302.246
132.343 0.559 0.351 254.226 1312.253
108.339 0.994 0.493 314.857 1305.051
138.363 0.761 0.51 213.416 1221.028
98.566 0.599 0.593 190.742 1168.084
83.718 0.9 0.336 190.286 1165.13
81.162 0.926 0.565 234.093 1202.254
81.809 1.093 0.375 270.631 1222.518
85.234 0.415 0.249 230.389 1273.401
82.572 0.384 0.318 246.145 1273.099
94.534 0.499 0.267 263.124 1281.373
101.446 0.645 0.469 274.771 1301.046
108.03 0.529 0.349 188.385 1252.745
85.537 1.446 0.503 207.813 1190.042
82.51 0.9 0.566 226.124 1182.433
75.719 1.207 0.455 218.632 1207.4
83.101 0.715 0.441 237.136 1198.665
91.379 0.684 0.331 206.186 1212.447
85.512 0.502 0.52 242.77 1264.924
104.477 0.485 0.317 249.597 1290.69
123.448 0.543 0.329 273.945 1308.301
118.015 0.764 0.487 254.97 1293.072
76.597 1.56 0.881 248.06 1236.265
108.278 2.512 0.757 245.513 1198.163
85.231 1.435 0.489 205.959 1179.945
98.662 0.836 0.514 236.364 1173.46
75.047 0.628 0.479 199.133 1206.619
84.765 0.601 0.585 232.371 1218.101
117.576 0.575 0.351 250.837 1249.792
117.302 0.941 0.574 314.09 1262.986
75.803 0.466 0.505 254.379 1275.544
88.096 0.672 0.28 263.767 1278.082
117.275 0.529 0.329 204.826 1239.234
112.649 1.47 0.898 244.576 1157.014
113.894 2.408 0.954 229.992 1136.124
113.439 1.243 0.726 199.684 1135.096
99.383 0.72 0.8 266.483 1240.535
127.075 0.489 0.505 186.069 1259.11
112.582 0.364 0.27 289.608 1345.126
129.903 0.914 0.62 284.803 1322.361
125.779 0.526 0.476 281.525 1278.709
117.1 0.549 0.417 227.027 1250.105
107.575 0.505 0.535 199.491 1207.645
99.597 1.67 0.664 198.602 1163.426
118.883 1.613 0.812 255.042 1202.454
77.082 0.796 0.415 196.439 1168.129
96.332 0.959 0.419 232.067 1222.312
103.089 0.795 0.565 276.908 1257.917
132.354 0.72 0.387 307.457 1353.187
125.308 0.434 0.347 299.039 1374.96
132.968 0.877 0.6 253.3 1311.873
98.314 0.802 0.333 243.032 1233.133
128.456 1.729 0.725 237.688 1187.747
114.424 2.055 0.672 226.532 1178.953
94.242 0.953 0.683 272.862 1208.018
92.609 0.647 0.603 240.641 1222.841
95.462 0.759 0.484 277.225 1270.422
93.428 0.496 0.31 206.767 1302.226
90.348 0.43 0.465 240.688 1332.346
143.175 0.508 0.456 232.216 1303.083
110.282 0.47 0.467 285.578 1292.479
118.602 0.622 0.525 255.443 1285.942
